"Servidor","ShareName","FolderPath","IdentityReference","FileSystemRights","AccessControlType","PSShowComputerName"
"SRMDEFIL08","Comun","P:\Comun","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SRMDEFIL08","Comun","P:\Comun","BUILTIN\Administrators","FullControl","Allow","True"
"SRMDEFIL08","Comun","P:\Comun","SURAMERICANA\Domain Users","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","Comun","P:\Comun","SURAMERICANA\GS IN Administradores Archivos y Carpetas","FullControl","Allow","True"
"SRMDEFIL08","Comun","P:\Comun","SURAMERICANA\produccion","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","Comun","P:\Comun","SURAMERICANA\carlbegu_aru_admsrvm","Modify, Synchronize","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","S-1-5-21-299502267-2000478354-725345543-90185","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\backadmin02","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\GS SS INDUSTRIALES","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\backadmin03","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\luismegl_aru_admda","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\alfrorce_ibm_backsrv","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\willagco_aru_admsrvm","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\santcapa_aru_admsrvm","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","S-1-5-21-299502267-2000478354-725345543-520008","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\clauocso_aru_admsrvm","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\carlbegu_aru_admsrvm","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\maycgoro_aru_admsrvm","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\carlbegu_aru_admsrvm","Modify, Synchronize","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\GS IN Administradores Archivos y Carpetas","FullControl","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","SURAMERICANA\produccion","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","ComunSS","P:\Comun\ComunSS","BUILTIN\Administrators","FullControl","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","Everyone","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","Everyone","-1610612736","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","CREATOR OWNER","268435456","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","NT AUTHORITY\SYSTEM","268435456","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","BUILTIN\Administrators","268435456","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","BUILTIN\Administrators","FullControl","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","-1610612736","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","S-1-15-3-1024-4044835139-2658482041-3127973164-329287231-3865880861-1938685643-461067658-1087000422","-1610612736","Allow","True"
"SRMDEFIL08","print$","C:\Windows\system32\spool\drivers","S-1-15-3-1024-4044835139-2658482041-3127973164-329287231-3865880861-1938685643-461067658-1087000422","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","T","T:\","Everyone","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","T","T:\","CREATOR OWNER","268435456","Allow","True"
"SRMDEFIL08","T","T:\","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SRMDEFIL08","T","T:\","BUILTIN\Administrators","FullControl","Allow","True"
"SRMDEFIL08","T","T:\","BUILTIN\Users","AppendData","Allow","True"
"SRMDEFIL08","T","T:\","BUILTIN\Users","CreateFiles","Allow","True"
"SRMDEFIL08","T","T:\","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True"
"SRMDEFIL08","TMPGenetica","P:\Comun\TMPGenetica","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SRMDEFIL08","TMPGenetica","P:\Comun\TMPGenetica","BUILTIN\Administrators","FullControl","Allow","True"
"SRMDEFIL08","TMPGenetica","P:\Comun\TMPGenetica","SURAMERICANA\Domain Admins","FullControl","Allow","True"
"SRMDEFIL08","TMPGenetica","P:\Comun\TMPGenetica","SURAMERICANA\leongoni","Modify, Synchronize","Allow","True"
"SRMDEFIL08","TMPGenetica","P:\Comun\TMPGenetica","SURAMERICANA\msadmin03","FullControl","Allow","True"
"SRMDEFIL08","TMPGenetica","P:\Comun\TMPGenetica","SURAMERICANA\luismegl_aru_admda","FullControl","Allow","True"
"SRMDEFIL08","TMPGenetica","P:\Comun\TMPGenetica","SURAMERICANA\maycgoro_aru_admsrvm","FullControl","Allow","True"
"SRMDEFIL08","Usuarios","P:\Usuarios","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SRMDEFIL08","Usuarios","P:\Usuarios","BUILTIN\Administrators","FullControl","Allow","True"
"SRMDEFIL08","Usuarios","P:\Usuarios","BUILTIN\Users","Modify, Synchronize","Allow","True"
"SRMDEFIL08","Usuarios","P:\Usuarios","SURAMERICANA\GS IN Administradores Archivos y Carpetas","FullControl","Allow","True"
